"ID";"Telefon dienstlich";"Mobiltelefon";"Fax";"Telefon privat";"Pager-Nummer";"Andere Telefonnummer";"E-Mail dienstlich";"E-Mail privat";"Andere E-Mail";"Verantwortlich";"Logo";"Unternehmensname";"Unternehmenstyp";"Mitarbeiter";"Unternehmenswebsite";"Persönliche Seite";"Facebook-Seite";"LiveJournal";"Twitter";"Andere Website";"Skype-ID";"ICQ-Nummer";"MSN/Live!";"Jabber";"Andere Kontaktmöglichkeit";"Adresse";"Straße";"Zimmernummer / Raum";"Stadt";"Region";"Bundesland / Kanton";"PLZ";"Land";"Rechnungsadresse";"Straße (für Rechnungen)";"Zimmernummer / Raum (für Rechnungen)";"Stadt (für Rechnungen)";"Region (für Rechnungen)";"Bundesland / Kanton (für Rechnungen)";"PLZ (für Rechnungen)";"Land (für Rechnungen)";"Bankverbindung";"Branche";"Jahresgewinn";"Währung";"Kommentar";"Erstellt von";"Erstellt am";"Geändert von";"Geändert am";"Zusatz";"Straße";"PLZ";"Ort";"Land";"Sperrvermerk";"Attribute";"Klientensegmentierung";"Wunschklient";"Letzte Rechnungsstellung (Jahr)";"VS_Kontaktperson";
"311";"+41 (44) 809-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"Axpo Kompogas AG";"# nicht ausgewählt #";"<100";"http://www.axpo-kompogas.ch";"";"";"";"";"";"";"";"";"";"";"Flughofstrasse 54<br />
8152 Glattbrugg<br />
Schweiz<br/>";"Flughofstrasse 54
8152 Glattbrugg
Schweiz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:09";"Anja Hauenschild";"20.01.2015 12:41:03";"";"Flughofstrasse 54";"8152";"Glattbrugg";"CH";"";"Höchstleisterstudie 2014: Potenzieller Kandidat";"";"ja";"0";"Nicole Tietz";
"2074";"+49 (5481) 14-0";"";"";"";"";"";"";"";"";"Martin Mittendorf";"";"Windmöller & Hölscher KG";"";"";"http://www.wuh-lengerich.de";"";"";"";"";"";"";"";"";"";"";"Münsterstr. 50<br />
49525 Lengerich<br/>";"Münsterstr. 50
49525 Lengerich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:20:05";"Azra Avdagic";"17.04.2014 15:43:18";"";"Münsterstr. 50";"49525";"Lengerich";"DE";"";"";"";"nein";"";"Nicole Tietz";
"955";"+49 (751) 5079-0";"";"";"";"";"";"sales.apunkt@handtmann.de";"";"";"Benno Löffler";"";"Handtmann A-Punkt Automation GmbH";"# nicht ausgewählt #";"<100";"http://www.handtmann.de";"";"";"";"";"";"";"";"";"";"";"Eisenbahnstr. 17<br />
88255 Baienfurt<br/>";"Eisenbahnstr. 17
88255 Baienfurt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"e) 100 bis 199 Ist Tochterunternehmen von Albert Handtmann Armaturenfabrik";"Tim Comanns";"19.12.2013 15:19:29";"Azra Avdagic";"09.03.2015 13:22:54";"";"Eisenbahnstr. 17";"88255";"Baienfurt";"DE";"";"";"";"ja";"0";"Nicole Tietz";
"945";"+49 (7425) 3371-0";"";"+49 (7425) 3371-50";"";"";"";"";"";"";"Benno Löffler";"";"HAAS Schleifmaschinen GmbH";"# nicht ausgewählt #";"<100";"http://www.multigrind.com";"";"";"";"";"";"";"";"";"";"";"Adelbert-Haas-Straße 1<br />
78647 Trossingen<br/>";"Adelbert-Haas-Straße 1
78647 Trossingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:29";"Nicole Tietz";"10.10.2014 13:20:14";"";"Adelbert-Haas-Straße 1";"78647";"Trossingen";"DE";"";"";"";"ja";"2014";"Nicole Tietz";
"1372";"+49 (4635) 299-0";"";"+49 (4635) 299-100";"";"";"";"";"";"";"Andreas Simon";"";"M. JÜRGENSEN GmbH & Co. KG";"";"";"http://www.m-juergensen.com";"";"";"";"";"";"";"";"";"";"";"Markschell 3<br />
24966 Sörup-Möllmark<br/>";"Markschell 3
24966 Sörup-Möllmark";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:42";"Nicole Tietz";"18.07.2014 13:21:29";"";"Markschell 3";"24966";"Sörup-Möllmark";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1939";"+49 (69) 6603-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"VDMA Holzbearbeitungsmaschinen";"";"";"http://www.vdma.org/article/-/articleview/1431436";"";"";"";"";"";"";"";"";"";"";"Lyoner Strasse 18<br />
60528 Frankfurt am Main<br/>";"Lyoner Strasse 18
60528 Frankfurt am Main";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:20:00";"Tim Comanns";"19.12.2013 15:20:00";"";"Lyoner Strasse 18";"60528";"Frankfurt am Main";"DE";"";"";"";"nein";"";"Lars Vollmer";
"252";"+49 (7151) 26-1615";"";"+49 (7151) 8126-1615";"";"";"";"info@stihl.de";"";"";"Benno Löffler";"";"ANDREAS STIHL AG & Co. KG";"# nicht ausgewählt #";">1000";"http://www.stihl.de/";"";"";"";"";"";"";"";"";"";"";"Badstraße 115<br />
71336 Waiblingen<br/>";"Badstraße 115
71336 Waiblingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"";"Werk 2: Andreas-Stihl-Straße 4 Werk 6: Stuttgarter Straße 88";"Tim Comanns";"19.12.2013 15:19:07";"Tim Comanns";"25.08.2014 17:02:44";"";"Badstraße 115";"71336";"Waiblingen";"DE";"";"";"";"nein";"2014";"Nicole Tietz";
"416";"+49 (4402) 966-0";"";"+49 (4402) 966-290";"";"";"";"";"";"";"Urban Pfeiffer";"";"BROETJE-Automation GmbH";"# nicht ausgewählt #";"<100";"http://www.broetje-automation.de";"";"";"";"";"";"";"";"";"";"";"Am Autobahnkreuz 14<br/>26180 Rastede";"Am Autobahnkreuz 14";"";"Rastede";"";"";"26180";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Ist Tochterunternehmen von CLAAS KGaA mbH<br><br>Eingabe fürs Navi: Schafjückenweg<br>";"Tim Comanns";"19.12.2013 15:19:12";"Nicole Tietz";"11.02.2016 11:30:33";"";"";"";"";"";"";"";"";"nein";"0";"Benno Löffler";
"2140";"";"";"";"";"";"";"";"";"";"Lars Vollmer";"";"LowendalMasaï Deutschland GmbH";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"Louise-Dumont-Str. 5 – 40211 Düsseldorf<br/>";"Louise-Dumont-Str. 5 – 40211 Düsseldorf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Kontakt über MAE<br />";"Nicole Tietz";"09.01.2014 14:37:10";"Nicole Tietz";"09.01.2014 14:37:10";"";"";"";"";"";"";"";"";"nein";"";"";
"1698";"+49 (711) 5105-0";"";"+49 (711) 5105 113";"";"";"";"";"";"";"Benno Löffler";"";"Sandvik Process Systems ZN der";"";"";"http://www.sandvik.com";"";"";"";"";"";"";"";"";"";"";"Salierstr. 35<br />
70736 Fellbach<br/>";"Salierstr. 35
70736 Fellbach";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:53";"Azra Avdagic";"09.03.2015 13:20:29";"SMT Deutschland GmbH";"Salierstr. 35";"70736";"Fellbach";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1327";"+49 (711) 614078-0";"";"+49 (711) 61407850";"";"";"";"";"";"";"Tim Comanns";"";"LF CONSULT GmbH";"";"";"http://www.lfconsult.de/";"";"";"";"";"";"";"";"";"";"";"Schloßstrasse 80<br />
70176 Stuttgart<br/>";"Schloßstrasse 80
70176 Stuttgart";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:40";"Tim Comanns";"19.12.2013 15:19:40";"";"Schloßstrasse 80";"70176";"Stuttgart";"DE";"";"";"";"nein";"";"Nicole Tietz";
